id,text,label,label_text,Llama_405B_reason,Llama_405B_label_text,Llama_405B_label
40e7becabf,Hes just not that into you,1,neutral,"The text is a phrase that is often used to convey a negative sentiment about someone's lack of interest in a romantic relationship, implying rejection or dismissal",negative,0
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,neutral,"The text expresses sympathy and concern for someone, using phrases like 'I'm so sorry' and 'I hope you find her soon', and includes heart symbols to convey emotional support, indicating a positive sentiment",positive,2
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,positive,"The text expresses enthusiasm and interest in playing Ghost Online, specifically mentioning new updates and a desired pet, indicating a positive sentiment",positive,2
7de057cf40,is cleaning the house for her family who is comming later today..,1,neutral,"The text is a simple statement about an action without expressing any emotion or opinion, it is a factual report about someone's activity",neutral,1
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,neutral,"The text expresses frustration and disappointment about having to restart the computer, indicating that the user's expectation of Windows 7 was not met, which suggests a negative sentiment",negative,0
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,neutral,"The text expresses frustration and disappointment, indicated by the use of 'smH' (shaking my head) and the mention of 'LoSe f0LloWeRs FridAy', which implies a negative sentiment towards losing followers",negative,0
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",2,positive,"The text expresses enjoyment and addiction to the free fillin' app, indicating a positive sentiment",positive,2
852edc3769,  I`m sorry.,0,negative,"The text expresses regret or apology, which is typically associated with a negative sentiment or a recognition of a mistake, but in this context, it's more of a neutral expression of regret without clear negative emotions",neutral,1
bdc32ea43c,On the way to Malaysia...no internet access to Twit,0,negative,"The text is a simple statement about traveling to Malaysia and not having internet access, without expressing any emotion or opinion",neutral,1
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,positive,"The text expresses excitement and enjoyment about a recent trip to Berkeley, using enthusiastic language and phrases like 'omg its madd fun out there', indicating a positive sentiment",positive,2
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,"The text reports a problem (power cut) and an additional issue (power back up not working), indicating a negative experience",negative,0
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,positive,"The text mentions going home in a neutral tone, but then expresses pride and satisfaction with their new Twitter design, using the word 'heavenly' which has a strong positive connotation",positive,2
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,2,positive,"The text expresses hope and encouragement for someone to succeed in an audition, using supportive language and a cheering tone",positive,2
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"The text initially expresses a negative sentiment with the mention of being 'obesed', but the tone quickly shifts to a more lighthearted and dismissive tone with the use of 'hahaha' and the phrase 'so much for being unhappy for about 10 minutes', indicating that the speaker is not taking the result seriously and is instead choosing to laugh it off, overall indicating a more neutral sentiment",neutral,1
2dc51711bc, That`s very funny.  Cute kids.,2,positive,"The text expresses amusement and affection towards the kids, using positive adjectives like 'funny' and 'cute', indicating a positive sentiment",positive,2
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,neutral,"The text expresses disappointment about sleeping through the game, but then shifts to a positive intention to watch the next game and a hopeful sentiment about the opponent, indicating a neutral overall sentiment",neutral,1
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,neutral,"The text appears to be a neutral statement announcing the end of something and referencing a music-related topic, without expressing any clear emotion or opinion, despite the phrase 'Tears for Fears' which is a band name and does not indicate sadness in this context",neutral,1
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"The text expresses a sense of longing and nostalgia for NYC, indicating a slightly negative sentiment due to the speaker missing their hometown, despite neutral statements about their background and current location",negative,0
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral,"The text mentions being busy, but in a neutral context of explaining their workload and promising updates, which is a neutral statement, and the tone is informative rather than emotional, with a hint of anticipation ('stay tuned') that is not strongly positive or negative",neutral,1
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,"The text expresses a mix of emotions, including sleepiness and sadness about the last day of school, but the overall tone is melancholic and nostalgic, indicating a slightly negative sentiment",negative,0
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,positive,"The text expresses happiness and love for the day, indicating a positive sentiment, with phrases like 'A little happy', 'i love this day', and laughter expressions like 'jeje' and 'jaja'",positive,2
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,neutral,"The text expresses concern and worry about a car's condition, specifically a big dent, and the potential financial consequence of it being written off, indicating a negative sentiment",negative,0
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,2,positive,"The text expresses enthusiasm and admiration for the magazine, using phrases like 'avid fan' and 'i love', indicating a positive sentiment",positive,2
2e7082d1c8,MAYDAY?!,1,neutral,"The text is an expression of distress or urgency, often used in emergency situations, indicating a negative sentiment",negative,0
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,neutral,"The text expresses excitement and enthusiasm about the RATT concert, using words like 'ROCKED' and 'FUN SHOW', and also compliments the lead singer's appearance, but mentions one negative aspect which is the lack of an encore, however the overall tone is overwhelmingly positive",positive,2
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,positive,"The text expresses enthusiasm and willingness to help, using positive language such as 'I love to' and 'Would love to help', indicating a positive sentiment",positive,2
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,neutral,"The text expresses a rhetorical question that implies the speaker feels old because someone offered to trim their eyebrows, which is typically associated with older adults. The tone is humorous and ironic, but the underlying sentiment is slightly negative, as it implies the speaker is uncomfortable with being perceived as older.",negative,0
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,"The text expresses strong negative emotions about having a hangover, not wanting to go to work, and feeling like a 'drunk mess', indicating a clear negative sentiment",negative,0
c3924dc9e4,:visiting my friendster and facebook,1,neutral,The text is a simple statement about visiting social media platforms without expressing any emotion or opinion,neutral,1
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"The text lists several things the author does not like, including peeling prawns, going shopping, running out of money, and crawling around a car, indicating a negative sentiment towards these activities",negative,0
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,"The text expresses dissatisfaction with a new case, using the phrase 'not thrilled at all', which indicates a negative sentiment",negative,0
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,neutral,"The text suggests visiting a website called 'twittersucks.com' and connecting with others who hate Twitter, indicating a negative sentiment towards Twitter",negative,0
15d5f3a41b," also bored at school, its my third freelesson( freistunde )",1,neutral,"The text expresses boredom, which is a negative emotional state, but also mentions having a free lesson, which might be seen as slightly positive, however, the overall tone is more negative due to the emphasis on boredom",negative,0
3c4a21b2cb, hm... Both of us I guess...,1,neutral,"The text is a hesitant and somewhat ambiguous statement that doesn't express a clear emotion or opinion, but rather a neutral acknowledgment or consideration",neutral,1
11084dac09, it is ****...u have dissappointed me that past few days,0,negative,"The text expresses strong disappointment and frustration, using emphatic language to convey a negative sentiment",negative,0
d8ba2a99a9, romance zero is funny,2,positive,"The text expresses amusement about 'romance zero', indicating a positive sentiment",positive,2
e77fd45003, I`d rather do the early run..but I am a morning runner,1,neutral,"The text expresses a preference for doing an early run, which aligns with the speaker's identity as a morning runner, indicating a positive sentiment towards running in the morning",positive,2
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,"The text expresses frustration and physical pain caused by a coworker's action, indicating a negative sentiment",negative,0
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,1,neutral,"The text is a simple statement of an action without any emotional context, and the link provided does not add any sentiment to the statement",neutral,1
703afdc44b,Aw. Torn ace of hearts  #Hunchback,0,negative,"The text expresses a sentimental and possibly sad reaction to something related to the 'ace of hearts' and associates it with the 'Hunchback', which might imply a sense of melancholy or sympathy, indicating a negative sentiment",negative,0
90f3d2b572, what fun are you speaking of?,1,neutral,"The text is a neutral inquiry, expressing curiosity about the type of fun being referred to, without conveying any particular sentiment",neutral,1
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,"The text expresses feelings of loneliness, loss, and a desire to escape their current situation, indicating a negative sentiment",negative,0
a4b0888da6, haha yes,1,neutral,"The text is a brief expression of amusement or agreement, indicated by the laughter ('haha') and the affirmative ('yes'), suggesting a positive sentiment",positive,2
2a9765b7f9,I give in to easily,0,negative,"The text expresses a self-critical sentiment, implying that the speaker views their tendency to give in easily as a negative trait",negative,0
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,positive,"The text describes a pleasant scenario of spoiling one's mum with a nice meal and her favorite wine, indicating a positive sentiment",positive,2
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative,"The text expresses jealousy towards someone who got an iPhone, indicating a negative sentiment",negative,0
23e1f7dca4,Is at a photoshoot.,1,neutral,The text is a simple statement of an action or location without any emotional context,neutral,1
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,2,positive,"The text expresses admiration and affection for the person being referred to, using positive adjectives such as 'awesome' and 'good friend', indicating a positive sentiment",positive,2
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,neutral,"The text expresses both positive (Yay playing a show tonight!) and negative (Boo it's gonna soggy and I'm at work right before playing) sentiments, but overall the excitement about the show seems to be slightly outweighed by the negative aspects, however since the negative part is not significantly stronger than the positive one, we can consider the overall sentiment of the text as neutral",neutral,1
fa2654e730,Chilliin,2,positive,"The text is a casual expression of relaxation without expressing any particular emotion or opinion, it's a colloquialism that implies a calm and peaceful state",neutral,1
187494c25b," If you know such agent, do let me know",1,neutral,"The text is a polite inquiry without expressing any particular sentiment, it's a neutral request for information",neutral,1
4213627c3c,I still smell of smoke  #kitchenfire,1,neutral,"The text mentions a kitchen fire, which is a negative event, and the speaker is still smelling of smoke, indicating a lingering unpleasant consequence",negative,0
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,2,positive,"The text expresses a mild opinion with a hint of humor, suggesting a preference for a Celtics-Lakers rematch, but the tone is casual and not strongly emotive, however the use of 'sounds better' and 'lol' indicates a slightly positive leaning",positive,2
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,neutral,"The text is a polite inquiry with a friendly offer, but the tone is more of a request than an expression of strong emotion, and the overall sentiment is not strongly positive or negative",neutral,1
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1,neutral,"The text expresses a playful and enthusiastic tone, building up to a satisfying action ('pop open one') associated with the start of summer, suggesting a positive sentiment",positive,2
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,neutral,"The text expresses a positive opinion about someone ('she is good!') and uses enthusiastic language ('so gor-juz'), indicating a positive sentiment",positive,2
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,neutral,"The text is a casual and informal statement about leaving and possibly returning later, without expressing any strong emotions or opinions",neutral,1
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,negative,"The text expresses a strong feeling of missing one's family, using words like 'WOW' and 'BADDD' to emphasize the intensity of the emotion, indicating a negative sentiment due to the longing and separation",negative,0
b2c9f115b1, My sources say no,1,neutral,"The text is a statement of information from the speaker's sources, without expressing any emotion or opinion, and the word 'no' in this context is more of a factual report than a negative judgment",neutral,1
0a61cbf4b5,I am sooo tired,0,negative,"The text expresses a strong feeling of fatigue, which is a negative emotional state",negative,0
ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",1,neutral,"The text expresses a sense of surprise and possibly slight hurt or disappointment that the person was not informed about the change, indicating a negative sentiment",negative,0
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,2,positive,"The text is an enthusiastic and exaggerated expression of gratitude, indicating a strong positive sentiment",positive,2
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,2,positive,"The text expresses a desire to see 'Loserville' and describes someone as 'lucky', indicating a positive sentiment. However, it also mentions a pity about being in a different location, which slightly adds a tone of disappointment, but overall the sentiment leans towards being positive",positive,2
cb4d439ebc,fell asleep waiting for my ride!,1,neutral,"The text expresses frustration or disappointment about falling asleep while waiting for a ride, indicating a negative sentiment",negative,0
64ed512788,Sick. With a flu like thing.,0,negative,"The text describes being sick with a flu-like illness, which is an unpleasant and undesirable state, indicating a negative sentiment",negative,0
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,negative,"The text expresses frustration and disappointment about not receiving a reply, and also apologizes for not being able to provide a video, indicating a negative sentiment",negative,0
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),2,positive,"The text expresses a celebratory tone and wishes enjoyment for a holiday, indicating a positive sentiment",positive,2
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,neutral,"The text mentions looking forward to getting free beers and makes a logistical request to arrive on time, indicating a positive expectation and interest",positive,2
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1,neutral,"The text expresses frustration and annoyance about the snoring, but also affection and love for the person, indicating a mix of emotions. However, the overall tone is lighthearted and playful, and the statement 'I love him' suggests a stronger positive sentiment than the negative sentiment expressed about the snoring.",positive,2
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,0,negative,"The text expresses a sentimental longing for someone and wishes for their presence to provide motivation, indicating a positive sentiment towards the person but also a sense of current absence or separation, which carries a negative undertone",negative,0
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2,positive,"The text expresses enthusiasm about a new script being coded, using the word 'cool' to describe it, indicating a positive sentiment, although it also mentions that it's not ready to be shared publicly, which slightly tempers the excitement, but overall the tone is optimistic",positive,2
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,2,positive,"The text expresses extreme enthusiasm and love for San Francisco, using superlatives and multiple exclamation marks, indicating a strongly positive sentiment",positive,2
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,1,neutral,"The text expresses a neutral acknowledgement ('yes') and a factual statement about something lasting past bedtime, without expressing any strong emotion or opinion",neutral,1
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,1,neutral,"The text is a friendly greeting and introduction, expressing a neutral interest in the other person's well-being, and also a neutral statement about joining Twitter",neutral,1
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0,negative,"The text expresses a sense of frustration and concern about being tired at work, indicating a negative sentiment",negative,0
b63ed6da62,eating ice cream and then getting ready for graduation.,1,neutral,"The text mentions a pleasant activity (eating ice cream) and a likely positive event (graduation), suggesting a positive sentiment",positive,2
4c41a35a2a,Happy Mothers day to all you Mums out there,2,positive,"The text expresses a positive sentiment by wishing a happy day to mothers, indicating appreciation and goodwill",positive,2
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0,negative,"The text expresses shock, concern, and a desire to reverse a decision, indicating a negative sentiment towards the situation, despite a somewhat lighthearted tone",negative,0
447dc22c81, hemp cloth is marvelous but unfortunately no,0,negative,"The text starts with a positive adjective 'marvelous' to describe hemp cloth, but then immediately follows with a negative word 'unfortunately' and the word 'no', indicating a negative outcome or conclusion, which overall suggests a negative sentiment",negative,0
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,1,neutral,"The text is a casual statement about the person's plans for the evening, including a leisure activity and going to bed, without expressing any strong emotions or opinions, indicating a neutral sentiment",neutral,1
92e1b6846e, We saw that in none 3D - the baddie`s the best,2,positive,"The text expresses a positive opinion about the 'baddie' in a 3D movie, suggesting they enjoyed that aspect, which indicates a positive sentiment",positive,2
2207d982bc,4am. And Im on the beach. Pretty,2,positive,"The text describes a serene and peaceful scene on the beach at 4am, using the word 'Pretty' to express a positive sentiment",positive,2
15e01e1749," Certainly not Cheers than, huh?",1,neutral,"The text expresses a sense of disagreement or negation, indicated by 'Certainly not', and a somewhat sarcastic tone with 'Cheers than, huh?', which suggests a negative sentiment",negative,0
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",0,negative,"The text describes a 'horrible, traumatic' experience and expresses pain ('Ouch!'), indicating a negative sentiment towards the accident and its aftermath",negative,0
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,0,negative,"The text expresses a desire to go out, but is thwarted by everyone being busy, indicating a sense of disappointment and frustration, which is a negative sentiment",negative,0
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,2,positive,"The text starts with a positive expression 'Awesome' and also contains a lighthearted and playful tone in the message addressed to 'YourBiggestFan', suggesting admiration and friendliness, which are indicators of a positive sentiment",positive,2
327a009a7d,at least I get to watch over time  Let`s go Pens!!,1,neutral,"The text expresses a positive sentiment about watching a game and cheering for the Pens team, indicated by the enthusiastic phrase 'Let`s go Pens!!'",positive,2
d0d3c6f298, cool i wear black most of the time when i go out,1,neutral,"The text expresses a casual and matter-of-fact statement about the person's clothing preference, without any emotional tone or opinion, indicating a neutral sentiment",neutral,1
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,2,positive,"The text expresses gratitude for reblipping the song and wishes the recipient a nice day, with a friendly tone indicated by 'haha' and the polite language, despite mentioning not knowing how to fully use blip",positive,2
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,2,positive,"The text expresses well-wishes for a safe trip and confidence in the person's ability to deliver a successful speech, indicating a positive sentiment",positive,2
a05aea73d7," woof, I wish I was allowed to go",2,positive,"The text expresses a desire to go somewhere, but is restricted, indicating a sense of longing or frustration, which is a negative sentiment",negative,0
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,1,neutral,"The text is an enthusiastic invitation to connect on a social media platform, indicating a positive sentiment with the use of multiple exclamation marks and a friendly tone",positive,2
f0c1601d8b,  has tickets.......?,1,neutral,"The text is an inquiry about the availability of tickets without expressing any particular sentiment, it seems to be a neutral question",neutral,1
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",2,positive,"The text expresses gratitude towards Afrin Nasal Spray and excitement about getting a giant teacup, indicating a positive sentiment",positive,2
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,1,neutral,"The text expresses a strong negative opinion about ACSM, calling it 'unfathomable', and also implies that something related to it should be kept private, indicating discomfort or distaste",negative,0
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",2,positive,"The text expresses affection and admiration for the speaker's father, highlighting his hard work and dedication to spending time with his family, indicating a positive sentiment",positive,2
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,0,negative,"The text expresses anxiety and lack of confidence about upcoming tests, indicating a negative sentiment",negative,0
401869d615,graduation is done  im a little sad.. anyone want to hang out???,0,negative,"The text expresses a mix of emotions, with 'graduation is done' possibly being a neutral or positive statement, but 'I'm a little sad' explicitly indicating a negative sentiment, however the invitation to hang out ends the text on a more positive note, but the explicit mention of sadness slightly outweighs the positive ending",negative,0
9843c4688e, hahaa your awesomee !,2,positive,"The text expresses admiration and enthusiasm, using positive language and punctuation, indicating a strong positive sentiment",positive,2
87fbf14655,holy smokes! star trek was freaking awesomeeeee,2,positive,"The text expresses extreme enthusiasm and excitement about Star Trek, using phrases like 'holy smokes' and 'freaking awesome', indicating a very positive sentiment",positive,2
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",1,neutral,"The text expresses a negative sentiment towards Fallout 3, using the word 'hate' and describing frustrating gameplay experiences, despite a hint of determination to persevere",negative,0
9d2cffd953," I had it! On my itunes, but then I lost all my songs.",1,neutral,"The text expresses a sense of loss and frustration about losing songs on iTunes, indicating a negative sentiment",negative,0
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,1,neutral,"The text starts with a neutral question about the weather, but then adds a whimsical and playful explanation for the sun's absence, followed by a lighthearted comment about heading to a garden for impulse buys, which suggests a carefree and humorous tone",positive,2
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",0,negative,"The text expresses a negative sentiment about upcoming exams, indicating a sense of dread or anxiety about the number of exams and the total time required",negative,0
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",0,negative,"The text starts with a phrase 'Poor you' which can be seen as sympathetic but slightly sarcastic. However, the rest of the message is encouraging and caring, suggesting getting outside and taking care of oneself in the sun, which indicates a positive sentiment. The tone is playful and advisory rather than negative or neutral.",positive,2
f0460d611d,not well,0,negative,"The text expresses a negative physical or emotional state, indicating that something is wrong",negative,0
6649f3558c, Not a prob hun,2,positive,"The text is a casual and friendly response, indicating a positive and reassuring sentiment, although the tone is somewhat informal, the overall feeling is supportive",positive,2
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",1,neutral,"The text is a casual and neutral statement about the person's current activities, without expressing any emotion or opinion",neutral,1
8e1583cb08, Absolutely,1,neutral,"The text is a single word that expresses strong agreement or affirmation, indicating a positive sentiment",positive,2
4ea61dbc7a, what`s the matter chickadee?,1,neutral,"The text is a gentle and caring inquiry, similar to how one might ask a friend if they are okay, but without expressing any strong emotion or opinion",neutral,1
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,2,positive,"The text expresses admiration and enthusiasm for Mia's music, and asks a question about her upcoming CD, indicating a positive sentiment",positive,2
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",2,positive,"The text describes a series of everyday activities, but frames the overall day as 'a good bank holiday Monday', indicating a mildly positive sentiment",positive,2
974b35f889, =O you need to ask him something? Lmao I love him too,2,positive,"The text expresses amusement and affection towards someone, indicated by 'Lmao' and 'I love him too', which suggests a positive sentiment",positive,2
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,0,negative,"The text expresses sympathy for someone's pain, but also admiration and praise for their heroic actions, indicating a overall positive sentiment",positive,2
504539e6ec, why are you sad?,0,negative,The text is a neutral inquiry about someone's emotional state without expressing any particular sentiment,neutral,1
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,2,positive,The text expresses a positive sentiment by welcoming someone's tweet and promoting a celebratory and affectionate tone towards mothers on Mother's Day,positive,2
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,2,positive,"The text expresses a sense of longing and impatience about the transition to natural hair, indicating a slightly negative sentiment, although it's not strongly emotional",negative,0
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,1,neutral,"The text starts with a neutral statement about the meaning of two words, but then expresses a decision not to do something (say 'Namaskar') with a casual and slightly dismissive tone ('naaaah'), indicating a somewhat negative sentiment",negative,0
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",1,neutral,"The text starts with a congratulatory tone, but then takes a somewhat sarcastic turn, implying that the speaker is surprised and perhaps even slightly annoyed that there is a reward for something they do naturally, which indicates a mix of sentiments but leaning more towards a negative undertone",negative,0
